herb_id,herb_name,herb_name_latin,nature_vi,temp_property,yin_yang,element_group,category_vi,meridian_main,indication_vi,safety_note,data_source,,image_url
H063,Liên kiều (Quả),Fructus Forsythiae suspensae,Khổ,Vi hàn,Âm,"Kim, Thổ",Thuốc thanh nhiệt giải độc,"Tâm, Đởm, Tam tiêu, Đại trường","Thanh nhiệt giải độc, tiêu sưng tán kết. Chủ trị: Đinh nhọt,  tràng nhạc, đờm hạch, nhũ ung, đan độc (viêm quầng đỏ); cảm mạo phong nhiệt, ôn bệnh vào tâm bào sốt cao gây háo khát, tinh thần hôn ám (mê sáng), phát ban; lâm lậu kèm bí tiểu tiện.","Không dùng cho người tỳ vị hư hàn, âm hư nội nhiệt, nhọt đã vỡ.","https://duocdienvietnam.com/lien-kieu-qua/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 206",,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/qua-lien-kieu.jpg
H064,Thăng ma (Thân rễ),Rhizoma Cimicifugae,"Tân, vi cam",Vi hàn,Âm,"Thổ, Kim, Hỏa",Thuốc thanh biểu cay mát,"Phế, Tỳ, Vị, Đại trường","Thấu chẩn, tán phong, giải độc, thăng dương khí. Chủ trị: Phong nhiệt ở dương minh có nhức đầu, đau răng, họng sưng đau; sởi không mọc, dương độc phát ban; sa trực tràng, sa dạ con.","Âm hư hỏa vượng, trên thực dưới hư không nên dùng. Thăng ma có tính mát, nếu tỳ vị hư yếu, nên dùng chung với các vị có tính ấm để dưỡng tỳ vị","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 188",,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thang-ma-duoc-lieu-tue-linh1.jpg
H065,Nhân sâm (Thân rễ và Rễ),Rhizoma et Radix Ginseng,"Cam, khổ",Bình,Trung tính,"Hỏa, Kim, Thủy, Thổ",Thuốc bổ khí,"Tỳ, Phế, Tâm","Đại bổ nguyên khí, ích huyết, kiện tỳ ích phế, sinh tân, an thần ích trí. Chủ trị: Khí hư muốn thoát, chân tay lạnh, mạch vi, tỳ hư, kém ăn, phế hư ho suyễn; tân dịch thương tổn, miệng khát nước, nội nhiệt tiêu khát, đái tháo, bệnh lâu ngày gầy yếu, tâm hồi hộp, suy tim kiệt sức, hay choáng ngất.","Không được dùng phối hợp với Lê lô, Ngũ linh chi.","https://duocdienvietnam.com/nhan-sam/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 283",,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/nhan3.jpg
H066,Thỏ ty tử,Semen Cuscutae,"Tân, cam",Vi ôn,Dương,"Mộc, Thủy, Thổ",Thuốc bổ dương  (thuốc trợ dương),"Can, Thận, kiêm nhập Tỳ","Công năng: Làm ấm thận tráng dương, bổ can sáng mắt, lợi niệu.
Chủ trị: Trường hợp thận hư yếu dẫn đến liệt dương, di tinh, đau lưng, đi giải nhiều lần, tả lỵ lâu ngày không khỏi. Chức năng thận, can kém, sức lực yếu kiệt, chóng mặt, mắt hoa, tai ù, gối mỏi, chữa đái ra máu, đái buốt. Nếu là trường hợp đẻ non với tính chất thường xuyên, nên dùng thỏ ty tử phối hợp với tục đoạn, tang ký sinh, bạch truật, đỗ trọng. Giây tơ hồng: dùng nước sắc rửa ngoài có thể chữa được bệnh mụn nhọt, sưng lở ở trẻ em","Những người thận dương cường, đại tiện bí táo không nên dùng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 354",,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/to-hong-duoc-lieu-tue-linh-1.jpg
H067,Bạc hà,Herba Menthae,Tân,Lương,Âm,"Kim, Thủy",Thuốc giải biểu cay mát,"Phế, Can","Sơ phong thanh nhiệt, thấu chẩn, sơ can giải uất. Chủ trị: Cảm mạo phong nhiệt, đau đầu, đau mắt đỏ; thúc đẩy sởi, đậu mọc; can uất ngực sườn căng tức.","Người khí hư huyết táo, mồ hôi nhiều, trẻ em dưới 1 tuổi không nên dùng.","https://duocdienvietnam.com/bac-ha-herba-menthae/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 179",,https://upload.wikimedia.org/wikipedia/commons/2/20/Fresh_Mint_leaves.jpg
H068,Ma hoàng,Herba Ephedrae,"Tân, vi khổ",Ôn,Dương,"Hỏa, Thổ, Mộc, Kim",Thuốc giải biểu cay ấm,"Phế, Bàng quang","Phát hãn giải biểu hàn, chỉ ho. bình suyễn, lợi thủy. Chủ  trị: Cảm mạo phong hàn, dương thủy; ngực tức, ho suyễn, hen phế quản, phù thũng.","Dương hư tự ra mồ hôi, không nên dùng.","https://duocdienvietnam.com/ma-hoang/
category_vi: Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 167",,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/ma-hoang1.jpg
H069,Hoàng liên (Thân rễ),Rhizoma Coptidis,Khổ,Hàn,Âm,Thổ,Thuốc thanh nhiệt táo thấp,"Tâm, Tỳ, Vị, Can, Đởm, Đại trường","Thanh nhiệt táo thấp, thanh tâm, trừ phiền, thanh can sáng mắt, tả hỏa, giải độc. Chủ trị: Đau bụng, viêm ruột, ỉa lỵ, bồn chồn mất ngủ, đau mắt đỏ.","Âm hư phiền nhiệt, tỳ- hư tiết tả không nên dùng.","https://duocdienvietnam.com/hoang-lien-than-re/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 220",,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/hoang-lien-duoc-lieu-tue-linh-3.jpg
H070,Tri mẫu (Thân rễ),Rhizoma Anemarrhenae,"Khổ, cam",Hàn,Âm,"Thủy, Mộc, Thổ",Thuốc thanh nhiệt giáng hỏa,"Phế, Vị, Thận","Công năng: Thanh nhiệt, tả hỏa, trừ phiền chỉ khát, nhuận táo. Chủ trị: Nhiệt bệnh có sốt cao khát nước, phế thận âm hư có cốt chưng, trào nhiệt; nội nhiệt tiêu khát, ruột ráo táo bón.",Người hư hàn không nên dùng.,"https://duocdienvietnam.com/tri-mau-than-re/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 217",,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/tri-mau-duoc-lieu-tue-linh.jpg
H071,Viễn chí (Rễ),Radix Polygalae,"Khổ, tân",Ôn,Dương,"Hỏa, Thủy, Kim",Thuốc dưỡng tâm an thần,"Tâm, Thận, Phế","Công năng: An thần ích trí, trừ đờm chỉ khái. Chủ trị: Mất ngủ, hay mê, hay quên, hồi hộp, đánh trống ngực, tinh thần hoảng hốt. Ho đờm nhiều. Mụn nhọt, vú sưng đau.","Người viêm loét dạ dày, phụ nữ có thai, người trầm cảm không nên dùng.","https://duocdienvietnam.com/vien-chi-re/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 267",,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/vien-chi-duoc-lieu-tue-linh2.jpg
H072,Đại táo (Quả),Fructus Ziziphi jujubae,Cam,Ôn,Dương,Thổ,Thuốc bổ khí,"Tỳ, Vị","Bổ trung, ích khí, dưỡng huyết, an thần. Chủ trị: Tỳ hư kém ăn, kém sức, phân lỏng, hysteria.",Không nên dùng cho người bụng đau trướng đầy,"https://duocdienvietnam.com/dai-tao-qua/
category_vi, safety_notei:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 289",,https://tracuuduoclieu.vn/wp-content/uploads/2018/03/i-tao-duoc-lieu-tue-linh-1.jpg
